mode,n,spectral_loss_like_mean,spectral_loss_like_std,spectral_loss_like_min,spectral_loss_like_max,spectral_dev_db_mean,spectral_dev_db_std,spectral_dev_db_min,spectral_dev_db_max,rt60_s_mean,rt60_s_std,rt60_s_min,rt60_s_max,edt_s_mean,edt_s_std,edt_s_min,edt_s_max,ringiness_mean,ringiness_std,ringiness_min,ringiness_max,kurtosis_mean_50_300ms_mean,kurtosis_mean_50_300ms_std,kurtosis_mean_50_300ms_min,kurtosis_mean_50_300ms_max,echo_density_events_per_s_50_300ms_mean,echo_density_events_per_s_50_300ms_std,echo_density_events_per_s_50_300ms_min,echo_density_events_per_s_50_300ms_max
fixed,1,0.6713636718595749,0.0,0.6713636718595749,0.6713636718595749,6.6204700713388585,0.0,6.6204700713388585,6.6204700713388585,2.7979867349617225,0.0,2.7979867349617225,2.7979867349617225,2.7647259422667663,0.0,2.7647259422667663,2.7647259422667663,16.02580887646943,0.0,16.02580887646943,16.02580887646943,303.99546384115143,0.0,303.99546384115143,303.99546384115143,72.54901960784314,0.0,72.54901960784314,72.54901960784314
u_only,1,0.9919401922020381,0.0,0.9919401922020381,0.9919401922020381,7.644554423601123,0.0,7.644554423601123,7.644554423601123,2.8003554486567843,0.0,2.8003554486567843,2.8003554486567843,2.7144319377007142,0.0,2.7144319377007142,2.7144319377007142,20.08329239545422,0.0,20.08329239545422,20.08329239545422,649.5502340279277,0.0,649.5502340279277,649.5502340279277,70.58823529411765,0.0,70.58823529411765,70.58823529411765
full,1,0.9940773240447097,0.0,0.9940773240447097,0.9940773240447097,7.670598994920588,0.0,7.670598994920588,7.670598994920588,2.8003381483703524,0.0,2.8003381483703524,2.8003381483703524,2.7140825233230674,0.0,2.7140825233230674,2.7140825233230674,20.087884303245154,0.0,20.087884303245154,20.087884303245154,643.5458309710237,0.0,643.5458309710237,643.5458309710237,70.58823529411765,0.0,70.58823529411765,70.58823529411765
